words,count
Women's History Month,2526
Black History Month,1498
Hispanic Heritage Month,1279
American Heritage Month,845
Pacific Islander Heritage,583
Islander Heritage Month,547
Native American Heritage,543
American Indian Heritage,347
Asian American Pacific,324
American Pacific Islander,316
African American History,304
celebrates Women's History,277
Indian Heritage Month,275
Women's History Month:,272
National Hispanic Heritage,252
American History Month,247
National American Indian,241
Asian Pacific American,207
celebrates Black History,197
Pacific American Heritage,193
celebrates Hispanic Heritage,172
Asian-Pacific American Heritage,162
Air Force Base,158
African American Heritage,157
AAPI Heritage Month,145
honors Women's History,132
celebrates Native American,127
celebrates Asian American,122
History Month Luncheon,112
African-American History Month,107
LGBT Pride Month,99
Black History Month:,96
Celebrating Women's History,92
Heritage Month Spotlight:,90
celebrate Black History,90
American Heritage month,89
hosts Black History,87
Black History Trailblazers,84
Women's Equality Day,84
Wolf Pack celebrates,82
History Month Observance,79
Heritage Month Luncheon,79
National Women's History,74
Womens History Month,73
Asian Pacific Heritage,72
hosts Women's History,71
Hispanic American Heritage,68
International Women's Day,66
Heritage Month luncheon,62
celebrate Women's History,62
History Month luncheon,61
American Heritage 2011,60
171 ARW African,60
History Month observance,60
ARW African American,60
Luke AFB hosts,60
launches inaugural WPS,59
571 MSAS launches,59
inaugural WPS seminar,59
MSAS launches inaugural,59
Hispanic Heritage Month:,58
History Month panel,57
Pacific Heritage Month,57
base honors Women's,57
Herk Nation celebrates,57
Deployed base honors,57
National Native American,56
Edwards Air Force,56
WOMEN'S HISTORY MONTH,56
Celebrating Hispanic Heritage,54
Heritage Month observance,54
Public Affairs NCOIC,53
honors Black History,52
History Month Spotlight:,51
History Month event,50
celebrates African American,49
Asian American/Pacific Islander,49
Heritage Month kicks,49
Diversity & Inclusion,49
Pack celebrates Women's,49
Native American Indian,46
Celebrating Black History,46
celebrates National Hispanic,46
Nation celebrates diversity,45
Heritage Month Celebration,45
Asian Pacific Islander,45
Force Base kicks,44
celebrates Asian-Pacific American,43
American/Pacific Islander Heritage,42
AFTC honors Women's,42
National African American,42
Pacific Islander heritage,41
Pacific Islander Heri,40
"Diversity, Equity, Inclusion",40
History Month Celebration,39
History Month -,39
commemorates Women's History,39
African-American Heritage Month,38
History Month celebration,38
Pacific Islander Month,38
